AL, 29, 2020103118,   , BEST,   0, 149N,  724W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  100,  60,  40,   0,   L,   0,    , 270,  12, TWENTY-NIN,,,,,,,,
AL, 29, 2020110100,   , BEST,   0, 149N,  736W,  35, 1005, TS,  34, NEQ,   50,    0,    0,   50, 1010,  100,  50,  45,   0,   L,   0,    , 270,  12, TWENTY-NIN,,,,,,,,
AL, 29, 2020110106,   , BEST,   0, 149N,  751W,  35, 1005, TS,  34, NEQ,   50,    0,    0,   50, 1009,  150,  50,  45,   0,   L,   0,    , 270,  15,        ETA,,,,,,,,
AL, 29, 2020110112,   , BEST,   0, 149N,  767W,  40, 1002, TS,  34, NEQ,   50,    0,    0,   50, 1008,  150,  50,  45,   0,   L,   0,    , 270,  15,        ETA,,,,,,,,
AL, 29, 2020110118,   , BEST,   0, 149N,  782W,  50,  992, TS,  34, NEQ,   80,   60,   20,   60, 1008,  150,  35,  60,   0,   L,   0,    , 270,  15,        ETA,,,,,,,,
AL, 29, 2020110118,   , BEST,   0, 149N,  782W,  50,  992, TS,  50, NEQ,   50,   30,    0,    0, 1008,  150,  35,  60,   0,   L,   0,    , 270,  15,        ETA,,,,,,,,
AL, 29, 2020110200,   , BEST,   0, 149N,  794W,  60,  988, TS,  34, NEQ,  100,   80,   30,   80, 1008,  150,  20,  75,   0,   L,   0,    , 270,  12,        ETA,,,,,,,,
AL, 29, 2020110200,   , BEST,   0, 149N,  794W,  60,  988, TS,  50, NEQ,   50,   30,    0,   50, 1008,  150,  20,  75,   0,   L,   0,    , 270,  12,        ETA,,,,,,,,
AL, 29, 2020110206,   , BEST,   0, 149N,  804W,  70,  982, HU,  34, NEQ,  110,   90,   30,   90, 1008,  150,  20,  80,   0,   L,   0,    , 270,  10,        ETA,,,,,,,,
AL, 29, 2020110206,   , BEST,   0, 149N,  804W,  70,  982, HU,  50, NEQ,   50,   30,   10,   50, 1008,  150,  20,  80,   0,   L,   0,    , 270,  10,        ETA,,,,,,,,
AL, 29, 2020110206,   , BEST,   0, 149N,  804W,  70,  982, HU,  64, NEQ,   20,    0,    0,   20, 1008,  150,  20,  80,   0,   L,   0,    , 270,  10,        ETA,,,,,,,,
AL, 29, 2020110212,   , BEST,   0, 148N,  812W,  90,  972, HU,  34, NEQ,  110,   60,   40,   90, 1008,  210,  10, 105,  10,   L,   0,    , 263,   8,        ETA,,,,,,,,
AL, 29, 2020110212,   , BEST,   0, 148N,  812W,  90,  972, HU,  50, NEQ,   30,   20,   20,   30, 1008,  210,  10, 105,  10,   L,   0,    , 263,   8,        ETA,,,,,,,,
AL, 29, 2020110212,   , BEST,   0, 148N,  812W,  90,  972, HU,  64, NEQ,   20,   10,   10,   20, 1008,  210,  10, 105,  10,   L,   0,    , 263,   8,        ETA,,,,,,,,
AL, 29, 2020110218,   , BEST,   0, 147N,  820W, 115,  948, HU,  34, NEQ,  110,   60,   40,  100, 1007,  180,  10, 140,   0,   L,   0,    , 263,   8,        ETA,,,,,,,,
